"filename", "language", "JSON", "JavaScript", "Properties", "comment", "blank", "total"
"c:\Code\MeetMate\backend\.env", "Properties", 0, 0, 5, 0, 0, 5
"c:\Code\MeetMate\backend\app.js", "JavaScript", 0, 60, 0, 3, 10, 73
"c:\Code\MeetMate\backend\config\database.js", "JavaScript", 0, 26, 0, 0, 4, 30
"c:\Code\MeetMate\backend\controllers\blockedDateController.js", "JavaScript", 0, 13, 0, 0, 4, 17
"c:\Code\MeetMate\backend\controllers\groupController.js", "JavaScript", 0, 13, 0, 0, 4, 17
"c:\Code\MeetMate\backend\controllers\groupUserController.js", "JavaScript", 0, 13, 0, 0, 4, 17
"c:\Code\MeetMate\backend\controllers\meetingControler.js", "JavaScript", 0, 13, 0, 0, 4, 17
"c:\Code\MeetMate\backend\controllers\meetingGroupController.js", "JavaScript", 0, 13, 0, 0, 4, 17
"c:\Code\MeetMate\backend\controllers\officeController.js", "JavaScript", 0, 13, 0, 0, 4, 17
"c:\Code\MeetMate\backend\controllers\resourceController.js", "JavaScript", 0, 13, 0, 0, 4, 17
"c:\Code\MeetMate\backend\controllers\roomController.js", "JavaScript", 0, 13, 0, 0, 4, 17
"c:\Code\MeetMate\backend\controllers\roomGroupController.js", "JavaScript", 0, 13, 0, 0, 4, 17
"c:\Code\MeetMate\backend\controllers\roomResourceController.js", "JavaScript", 0, 13, 0, 0, 4, 17
"c:\Code\MeetMate\backend\controllers\typeController.js", "JavaScript", 0, 13, 0, 0, 4, 17
"c:\Code\MeetMate\backend\controllers\userController.js", "JavaScript", 0, 13, 0, 0, 4, 17
"c:\Code\MeetMate\backend\index.js", "JavaScript", 0, 106, 0, 0, 16, 122
"c:\Code\MeetMate\backend\models\blockedDate.js", "JavaScript", 0, 51, 0, 0, 3, 54
"c:\Code\MeetMate\backend\models\group.js", "JavaScript", 0, 35, 0, 0, 3, 38
"c:\Code\MeetMate\backend\models\groupUser.js", "JavaScript", 0, 35, 0, 0, 3, 38
"c:\Code\MeetMate\backend\models\index.js", "JavaScript", 0, 31, 0, 2, 3, 36
"c:\Code\MeetMate\backend\models\meeting.js", "JavaScript", 0, 79, 0, 0, 3, 82
"c:\Code\MeetMate\backend\models\meetingGroup.js", "JavaScript", 0, 35, 0, 0, 3, 38
"c:\Code\MeetMate\backend\models\office.js", "JavaScript", 0, 42, 0, 0, 3, 45
"c:\Code\MeetMate\backend\models\resource.js", "JavaScript", 0, 35, 0, 0, 3, 38
"c:\Code\MeetMate\backend\models\room.js", "JavaScript", 0, 43, 0, 0, 3, 46
"c:\Code\MeetMate\backend\models\roomGroup.js", "JavaScript", 0, 35, 0, 0, 3, 38
"c:\Code\MeetMate\backend\models\roomResource.js", "JavaScript", 0, 35, 0, 0, 3, 38
"c:\Code\MeetMate\backend\models\type.js", "JavaScript", 0, 35, 0, 0, 3, 38
"c:\Code\MeetMate\backend\models\user.js", "JavaScript", 0, 55, 0, 0, 3, 58
"c:\Code\MeetMate\backend\package-lock.json", "JSON", 1864, 0, 0, 0, 1, 1865
"c:\Code\MeetMate\backend\package.json", "JSON", 20, 0, 0, 0, 1, 21
"c:\Code\MeetMate\backend\routes\blockedDates.js", "JavaScript", 0, 5, 0, 0, 3, 8
"c:\Code\MeetMate\backend\routes\groupUsers.js", "JavaScript", 0, 5, 0, 0, 2, 7
"c:\Code\MeetMate\backend\routes\groups.js", "JavaScript", 0, 5, 0, 0, 3, 8
"c:\Code\MeetMate\backend\routes\meetingGroups.js", "JavaScript", 0, 5, 0, 0, 2, 7
"c:\Code\MeetMate\backend\routes\meetings.js", "JavaScript", 0, 5, 0, 0, 2, 7
"c:\Code\MeetMate\backend\routes\offices.js", "JavaScript", 0, 5, 0, 0, 3, 8
"c:\Code\MeetMate\backend\routes\resources.js", "JavaScript", 0, 5, 0, 0, 2, 7
"c:\Code\MeetMate\backend\routes\roomGroups.js", "JavaScript", 0, 5, 0, 0, 2, 7
"c:\Code\MeetMate\backend\routes\roomResources.js", "JavaScript", 0, 5, 0, 0, 2, 7
"c:\Code\MeetMate\backend\routes\rooms.js", "JavaScript", 0, 5, 0, 0, 2, 7
"c:\Code\MeetMate\backend\routes\types.js", "JavaScript", 0, 5, 0, 0, 2, 7
"c:\Code\MeetMate\backend\routes\users.js", "JavaScript", 0, 5, 0, 0, 2, 7
"Total", "-", 1884, 954, 5, 5, 146, 2994