"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Code\MeetMate\backend\config\database.js", "JavaScript", 26, 0, 0, 4, 30
"c:\Code\MeetMate\src\App.js", "JavaScript", -63, 0, -4, -8, -75
"c:\Code\MeetMate\src\Components\ShortSelect.js", "JavaScript", -66, 0, 0, -4, -70
"c:\Code\MeetMate\src\Components\ShortSelectObject.js", "JavaScript", -68, 0, 0, -5, -73
"c:\Code\MeetMate\src\Components\ShortTextField.js", "JavaScript", -47, 0, 0, -3, -50
"c:\Code\MeetMate\src\Routes\Routes.js", "JavaScript", -223, 0, -2, -6, -231
"c:\Code\MeetMate\src\Utilites\AuthContext.js", "JavaScript", -15, 0, -1, -3, -19
"c:\Code\MeetMate\src\Utilites\Functions\ApiFunctions.js", "JavaScript", -308, 0, -20, -7, -335
"c:\Code\MeetMate\src\Utilites\Functions\ApiFunctions\BlockedDatesFunctions.js", "JavaScript", -35, 0, -1, -5, -41
"c:\Code\MeetMate\src\Utilites\Functions\ApiFunctions\GroupFunctions.js", "JavaScript", -38, 0, -1, -4, -43
"c:\Code\MeetMate\src\Utilites\Functions\ApiFunctions\GroupUsersFunctions.js", "JavaScript", -53, 0, -1, -9, -63
"c:\Code\MeetMate\src\Utilites\Functions\ApiFunctions\MeetingFunctions.js", "JavaScript", -199, 0, -2, -29, -230
"c:\Code\MeetMate\src\Utilites\Functions\ApiFunctions\MeetingRecurrencesFunctions.js", "JavaScript", -13, 0, -1, -1, -15
"c:\Code\MeetMate\src\Utilites\Functions\ApiFunctions\MeetingTypeFunctions.js", "JavaScript", -38, 0, -1, -4, -43
"c:\Code\MeetMate\src\Utilites\Functions\ApiFunctions\ResourceFunctions.js", "JavaScript", -83, 0, -3, -11, -97
"c:\Code\MeetMate\src\Utilites\Functions\ApiFunctions\RoomFunctions.js", "JavaScript", -58, 0, -1, -7, -66
"c:\Code\MeetMate\src\Utilites\Functions\ApiFunctions\RoomGroupFunctions.js", "JavaScript", -54, 0, -1, -8, -63
"c:\Code\MeetMate\src\Utilites\Functions\ApiFunctions\UserFunctions.js", "JavaScript", -146, 0, -4, -19, -169
"c:\Code\MeetMate\src\Utilites\Functions\ColorFunctions.js", "JavaScript", -48, 0, -31, -16, -95
"c:\Code\MeetMate\src\Utilites\Functions\CommonFunctions.js", "JavaScript", -70, 0, -16, -17, -103
"c:\Code\MeetMate\src\Utilites\Hooks\useMultiSyncScrollHorizontal.js", "JavaScript", -34, 0, -1, -12, -47
"c:\Code\MeetMate\src\Utilites\Hooks\useSyncScrollHorizontal.js", "JavaScript", -20, 0, 0, -5, -25
"c:\Code\MeetMate\src\Utilites\Hooks\useSyncScrollVertical.js", "JavaScript", -57, 0, 0, -13, -70
"c:\Code\MeetMate\src\Utilites\SnackbarContext.js", "JavaScript", -77, 0, -1, -12, -90
"c:\Code\MeetMate\src\Utilites\theme.js", "JavaScript", -61, 0, -2, -7, -70
"c:\Code\MeetMate\src\Views\Components\Banner\Banner.js", "JavaScript", -48, 0, 0, -5, -53
"c:\Code\MeetMate\src\Views\Components\Banner\Components\DateSelector.js", "JavaScript", -81, 0, -5, -11, -97
"c:\Code\MeetMate\src\Views\Components\Banner\Components\DayComponent.js", "JavaScript", -54, 0, 0, -5, -59
"c:\Code\MeetMate\src\Views\Components\Banner\Components\MonthSelector.js", "JavaScript", -72, 0, -5, -8, -85
"c:\Code\MeetMate\src\Views\Components\Banner\Components\WeekPicker.js", "JavaScript", -84, 0, -3, -8, -95
"c:\Code\MeetMate\src\Views\Components\DisplayMeeting\DisplayMeeting.js", "JavaScript", -409, 0, 0, -15, -424
"c:\Code\MeetMate\src\Views\Components\PageSelector\PageSelector.js", "JavaScript", -30, 0, 0, -4, -34
"c:\Code\MeetMate\src\Views\Components\SideBar\SideBar.css", "CSS", 0, -46, 0, -11, -57
"c:\Code\MeetMate\src\Views\Components\SideBar\SideBar.js", "JavaScript", -324, 0, -16, -12, -352
"c:\Code\MeetMate\src\Views\Pages\ApprovalQueue\ApprovalQueue.js", "JavaScript", -361, 0, 0, -26, -387
"c:\Code\MeetMate\src\Views\Pages\ApprovalQueue\Components\RowMeeting.js", "JavaScript", -59, 0, 0, -2, -61
"c:\Code\MeetMate\src\Views\Pages\BlockedDates\BlockedDates.js", "JavaScript", -253, 0, 0, -22, -275
"c:\Code\MeetMate\src\Views\Pages\BlockedDates\Components\AddBlockedDate.js", "JavaScript", -193, 0, 0, -11, -204
"c:\Code\MeetMate\src\Views\Pages\Daily\Components\DayCalender.js", "JavaScript", -205, 0, -14, -20, -239
"c:\Code\MeetMate\src\Views\Pages\Daily\Components\Footer.js", "JavaScript", -24, 0, 0, -4, -28
"c:\Code\MeetMate\src\Views\Pages\Daily\Components\HorizontalScrollBar.js", "JavaScript", -86, 0, 0, -10, -96
"c:\Code\MeetMate\src\Views\Pages\Daily\Components\HoursBar.js", "JavaScript", -30, 0, 0, -2, -32
"c:\Code\MeetMate\src\Views\Pages\Daily\Components\MeetingBox.js", "JavaScript", -189, 0, -21, -21, -231
"c:\Code\MeetMate\src\Views\Pages\Daily\Components\MeetingForum.js", "JavaScript", -332, 0, -5, -16, -353
"c:\Code\MeetMate\src\Views\Pages\Daily\Components\MinuteBox.js", "JavaScript", -77, 0, -4, -8, -89
"c:\Code\MeetMate\src\Views\Pages\Daily\index.js", "JavaScript", -148, 0, 0, -11, -159
"c:\Code\MeetMate\src\Views\Pages\Groups\Components\AddNewGroup.js", "JavaScript", -82, 0, 0, -6, -88
"c:\Code\MeetMate\src\Views\Pages\Groups\Groups.js", "JavaScript", -263, 0, 0, -25, -288
"c:\Code\MeetMate\src\Views\Pages\Home\index.js", "JavaScript", -9, 0, 0, -4, -13
"c:\Code\MeetMate\src\Views\Pages\Locations\Locations.js", "JavaScript", -182, 0, 0, -17, -199
"c:\Code\MeetMate\src\Views\Pages\Login\Components\Signup.js", "JavaScript", -216, 0, -4, -13, -233
"c:\Code\MeetMate\src\Views\Pages\Login\Login.js", "JavaScript", -127, 0, -2, -10, -139
"c:\Code\MeetMate\src\Views\Pages\MeetingTypes\Components\AddNewType.js", "JavaScript", -67, 0, 0, -7, -74
"c:\Code\MeetMate\src\Views\Pages\MeetingTypes\MeetingTypes.js", "JavaScript", -221, 0, 0, -23, -244
"c:\Code\MeetMate\src\Views\Pages\Monthly\Components\DayBox.js", "JavaScript", -93, 0, -3, -8, -104
"c:\Code\MeetMate\src\Views\Pages\Monthly\Components\DaysBar.js", "JavaScript", -23, 0, 0, -4, -27
"c:\Code\MeetMate\src\Views\Pages\Monthly\Components\Footer.js", "JavaScript", -10, 0, 0, -5, -15
"c:\Code\MeetMate\src\Views\Pages\Monthly\Components\MeetingComponent.js", "JavaScript", -123, 0, -11, -8, -142
"c:\Code\MeetMate\src\Views\Pages\Monthly\Components\MeetingForum.js", "JavaScript", -317, 0, -5, -18, -340
"c:\Code\MeetMate\src\Views\Pages\Monthly\Components\MonthCalender.js", "JavaScript", -162, 0, -3, -9, -174
"c:\Code\MeetMate\src\Views\Pages\Monthly\index.js", "JavaScript", -166, 0, 0, -13, -179
"c:\Code\MeetMate\src\Views\Pages\MyAccount\MyAccount.js", "JavaScript", -198, 0, 0, -10, -208
"c:\Code\MeetMate\src\Views\Pages\MyBookings\Components\RowMeeting.js", "JavaScript", -59, 0, 0, -3, -62
"c:\Code\MeetMate\src\Views\Pages\MyBookings\MyBookings.js", "JavaScript", -333, 0, 0, -34, -367
"c:\Code\MeetMate\src\Views\Pages\Resources\Components\AddNewResource.js", "JavaScript", -52, 0, 0, -8, -60
"c:\Code\MeetMate\src\Views\Pages\Resources\Components\AddNewRoomResource.js", "JavaScript", -83, 0, 0, -10, -93
"c:\Code\MeetMate\src\Views\Pages\Resources\Resources.js", "JavaScript", -220, 0, 0, -22, -242
"c:\Code\MeetMate\src\Views\Pages\Resources\RoomResources.js", "JavaScript", -240, 0, 0, -24, -264
"c:\Code\MeetMate\src\Views\Pages\Rooms\Components\AddNewRoom.js", "JavaScript", -243, 0, -4, -10, -257
"c:\Code\MeetMate\src\Views\Pages\Rooms\Components\RowRoom.js", "JavaScript", -109, 0, 0, -9, -118
"c:\Code\MeetMate\src\Views\Pages\Rooms\Rooms.js", "JavaScript", -328, 0, 0, -32, -360
"c:\Code\MeetMate\src\Views\Pages\Users\Components\AddNewUser.js", "JavaScript", -294, 0, -4, -10, -308
"c:\Code\MeetMate\src\Views\Pages\Users\Components\ViewUser.js", "JavaScript", -87, 0, 0, -3, -90
"c:\Code\MeetMate\src\Views\Pages\Users\Users.js", "JavaScript", -446, 0, 0, -33, -479
"c:\Code\MeetMate\src\Views\Pages\Weekly\Components\DayBox.js", "JavaScript", -96, 0, -2, -7, -105
"c:\Code\MeetMate\src\Views\Pages\Weekly\Components\DaysBar.js", "JavaScript", -23, 0, 0, -4, -27
"c:\Code\MeetMate\src\Views\Pages\Weekly\Components\Footer.js", "JavaScript", -10, 0, 0, -5, -15
"c:\Code\MeetMate\src\Views\Pages\Weekly\Components\MeetingComponent.js", "JavaScript", -123, 0, -11, -8, -142
"c:\Code\MeetMate\src\Views\Pages\Weekly\Components\MeetingForum.js", "JavaScript", -320, 0, -5, -17, -342
"c:\Code\MeetMate\src\Views\Pages\Weekly\Components\WeekCalender.js", "JavaScript", -154, 0, -1, -10, -165
"c:\Code\MeetMate\src\Views\Pages\Weekly\index.js", "JavaScript", -157, 0, 0, -14, -171
"c:\Code\MeetMate\src\index.css", "CSS", 0, -5, 0, 0, -5
"c:\Code\MeetMate\src\index.js", "JavaScript", -18, 0, -3, -3, -24
"c:\Code\MeetMate\src\reportWebVitals.js", "JavaScript", -12, 0, 0, -2, -14
"Total", "-", -10573, -51, -225, -891, -11740